this	dd1
.	y
the	at
present	jj_nn1
drought	nn1
,	y
then	rt
,	y
present	vvz
biologist	nn2
with	iw
some	dd
interesting	jj
 	nnu
//	jj_nn1
rublee	nn1_np1
say	vvz
:	y
'	"@
'	"@_ge
we	ppis2
can	vm
watch	vvi
the	at
ecological	jj
balance	nn1
shift	nn1@_vv0
and	cc
the	at
organism	nn2
attempt	vv0
to	to
adjust	vvi
.	y
some	dd
will	vm
die	vvi
off	rp
,	y
some	dd
will	vm
thrive	vvi
,	y
but	ccb
the	at
environment	nn1
be	vbz
handle	vvg
all	db
of	io
this	dd1
just	jj
 	nnu
'	"@
'	ge
//	jj_nn1
//	nn1
##	fo
it	pph1
be	vbz
in	ii
the	at
middle	jj_nn1
level	nn2
where	rrq_cs
"	"
the	at
crunch	nn1
will	vm
come	vvi
,	y
"	"
she	pphs1
predict	vvz
.	y
according	ii21
to	ii22
dr.-i	nnb
linda	np1
keller	np1
brown	np1
,	y
of	io
columbia	np1
'	ge
s	zz1
center	nn1
for	if
the	at
social	jj
science	nn2
,	y
these	dd2
study	nn2
indicate	vv0
that	cst
this	dd1
crunch	nn1
have	vhz
to	to
do	vdi
with	iw
the	at
reluctance	nn1
of	io
american	jj
company	nn2
to	to
send	vvi
woman	nn2
abroad	rl
for	if
management	nn1
 	nnu
//	nn1_jj_vv0
"	"
because	cs
foreign	jj
profit	nn2
be	vbr
so	rg_rr
important	jj
,	y
company	nn2
can	vm
not	xx
have	vhi
people	nn
in	ii
upper	jj
management	nn1
who	pnqs
do	vd0
not	xx
have	vhi
foreign	jj
experience	nn1
,	y
"	"
she	pphs1
say	vvd
recently	rr
in	ii
an	at1
interview	nn1
at	ii
her	appge_ppho1
columbia	np1
office	nn1
.	y
"	"
but	ccb
these	dd2
company	nn2
be	vbr
not	xx
yet	rr
willing	jj
to	to
send	vvi
woman	nn2
abroad	rl
on	ii
foreign	jj
assignment	nn2
.	y
they	pphs2
think	vv0
that	cst
woman	nn2
will	vm
not	xx
be	vbi
accept	vvn
in	ii
third	md
world	nn1
country	nn2
or	cc
in	ii
country	nn2
like	ii
japan	np1
,	y
where	cs_rrq
there	ex
be	vbr
few	da2
woman	nn2
 	nnu
"	"
//	jj_nn1_vv0
//	jj_nn1
future	nn1
in	ii
jeopardy	nn1
 	nn1_vv0
"	"
without	iw
this	dd1
foreign	jj
experience	nn1
,	y
"	"
dr.-i	nnb
brown	np1
add	vvd
,	y
"	"
the	at
woman	nn1
manager	nn1
'	ge
s	zz1
future	jj_nn1
in	ii
the	at
company	nn1
will	vm
be	vbi
 	nnu
"	"
//	nn1_jj_vv0
dr.-i	nnb
brown	np1
have	vhz
write	vvn
a	at1
new	jj
book	nn1
base	vvn
on	ii
her	appge
analysis	nn1
of	io
the	at
study	nn2
,	y
call	vvn_vvd@
"	"
the	at
woman	nn1
manager	nn1
in	ii
the	at
united	np1
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
business	nn1
and	cc
professional	jj
woman	nn2
'	ge
s	zz1
foundation	nn1
in	ii
 	np1
 	vv0_nn1
she	pphs1
be	vbdz
also	rr
speak	vvg
from	ii
her	appge
experience	nn1
as	csa_ii@
director	nn1
of	io
the	at
center	nn1
'	ge
s	zz1
cross-national	jj
project	nn1
on	ii
woman	nn2
as	csa_rg@
corporate	jj
manager	nn2
.	y
in	ii
that	dd1
role	nn1
,	y
she	pphs1
analyze	vvz
the	at
economic	jj
and	cc
social	jj
factor	nn2
affect	vvg
the	at
leadership	nn1
of	io
woman	nn2
in	ii
business	nn1
in	ii
the	at
united	np1
state	np1
and	cc
several	da2
foreign	jj
country	nn2
.	y
the	at
project	nn1
be	vbz
finance	vvn
by	ii
the	at
ford	np1_nn1@
foundation	nn1
and	cc
the	at
german	jj_nn1
marshall	np1
fund	nn1
.	y
 	null
 	null
success	nn1
in	ii
foreign	jj
country	nn2
 	vv0
call	vvg
the	at
reluctance	nn1
of	io
corporation	nn2
to	to
send	vvi
woman	nn2
abroad	rl
"	"
one	mc1
kind	nn1_rr21%
of	io_rr22
fly	nn1_vv0
in	ii
the	at
ointment	nn1
,	y
"	"
dr.-i	nnb
brown	np1
say	vvd
she	pphs1
think	vvd
that	cst
woman	nn2
do	vdd
much	da1_rr
better	jjr_rrr
in	ii
foreign	jj
country	nn2
than	csn
be	vbdz
commonly	rr
 	nnu
//	vv0_nn1_jj
"	"
they	pphs2
do	vd0
very	rg
well	rr
in	ii
thailand	np1
and	cc
the	at
philippines	np2_np
,	y
"	"
she	pphs1
say	vvd
.	y
"	"
and	cc
anyone	pn1
who	pnqs
go	vvz
to	ii
japan	np1
be	vbz
consider	vvn
an	at1
outsider	nn1
.	y
a	at1
woman	nn1
go	vvg
into	ii
that	dd1
situation	nn1
with	iw
a	at1
high	jj
enough	dd_rr
rank	nn1
would	vm
be	vbi
at	ii
an	at1
advantage	nn1
.	y
she	pphs1
would	vm
be	vbi
consider	vvn
so	rg_rr
unusual	jj
that	cst
the	at
japanese	nn1
would	vm
go	vvi
out	ii21
of	ii22
their	appge
way	nn1
for	if
 	nnu
"	"
//	nn1_jj_vv0
dr.-i	nnb
brown	np1
characterize	vvd
the	at
situation	nn1
for	if
woman	nn2
manager	nn2
in	ii
the	at
united	np1
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
"	"
but	ccb
add	vvd
that	cst
the	at
change	nn1
be	vbdz
not	xx
as	rg
great	jj
as	csa
indicate	vvn
in	ii
the	at
news	nn1
 	nnu
 	vv0
"	"
the	at
press	nn1
have	vhz
convey	vvn
the	at
impression	nn1
of	io
a	at1
tremendous	jj
change	nn1
,	y
which	ddq
have	vhz
not	xx
yet	rr
happen	vvn
,	y
"	"
she	pphs1
say	vvd
.	y
"	"
the	at
situation	nn1
be	vbz
more	rrr_dar_rgr
like	ii
a	at1
big	jj
tub	nn1
of	io
hot	jj
water	nn1
,	y
with	iw
a	at1
few	da2
cold	jj
drop	nn2
come	vvg
into	ii
it	pph1
.	y
it	pph1
take	vvz
a	at1
while	nnt1@
for	if
the	at
temperature	nn1
to	to
change	vvi
.	y
"	"
 	null
 	null
change	vv0_nn1
at	ii
business	nn1
school	nn2
 	vv0
she	pphs1
say	vvd
the	at
major	jj
change	nn1
take	vvg
place	nn1
be	vbdz
at	ii
the	at
business	nn1
school	nn1
level	nn1
,	y
where	cs_rrq
28	mc
percent	nnu
of	io
the	at
student	nn2
in	ii
the	at
top	jj_nn1
american	jj
school	nn2
be	vbr
woman	nn2
.	y
she	pphs1
say	vvd
that	cst_dd1
about	rg
15	mc
percent	nnu
of	io
today	rt
'	ge
s	zz1
management	nn1
trainee	nn2
be	vbdr
woman	nn2
,	y
compare	vvn
with	iw
only	rr
1	mc1
percent	nnu
in	ii
the	at
mid-1960	mc
'	ge
s	zz1
.	y
and	cc
36	mc
percent	nnu
of	io
corporate	jj
board	nn2
now	rt
have	vh0
woman	nn2
director	nn2
,	y
she	pphs1
say	vvd
,	y
as	ii31
oppose	ii32
to	ii33
11	mc
percent	nnu
in	ii
 	mc
 	vv0
"	"
the	at
key	nn1_jj
to	ii
what	ddq
happen	vvz
to	ii@
woman	nn2
in	ii
the	at
next	md
few	da2
year	nnt2
probably	rr
lie	vvz
with	iw
the	at
the	at
old	jjr
male	nn1_jj
manager	nn2
,	y
"	"
dr.-i	nnb
brown	np1
say	vvd
.	y
"	"
how	rrq
they	pphs2
view	vv0@
woman	nn2
be	vbz
very	rg
important	jj
.	y
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
and	cc
al	np1
neuharth	np1
of	io
the	at
gannett	np1_nn1@
newspaper	nn1
chain	nn1
.	y
both	db2_rr
have	vh0
outstanding	jj
record	nn2
of	io
seek	vvg
top	jj_nn1
management	nn1
talent	nn1
,	y
regardless	rr
of	io
 	nnu
"	"
 	nn1_vv0_jj
quote	vvg_nn1@
from	ii
study	nn2
mention	vvn_vvd
in	ii
her	appge
book	nn1
,	y
dr.-i	nnb
brown	np1
say	vvd
that	cst
the	at
greatest	jjt
discrimination	nn1
toward	ii
woman	nn2
in	ii
business	nn1
come	vvd
from	ii
male	jj_nn1
business	nn1
school	nn1
student	nn2
.	y
"	"
much	da1
of	io
this	dd1
student	nn1
antipathy	nn1
toward	ii
woman	nn2
result	nn2_vvz@
from	ii
the	at
fear	nn1
of	io
more	dar
competition	nn1
for	if
fewer	dar
job	nn2
in	ii
a	at1
poor	jj
economy	nn1
,	y
"	"
she	pphs1
say	vvd
.	y
 	null
 	null
the	at
mentor	nn1_np1
concept	nn1
 	vv0_nn1
the	at
38-year-old	jj
social	jj
scientist	nn1
say	vvd
she	pphs1
think	vvd
the	at
notion	nn1
that	cst
mentor	nn2
be	vbdr
important	jj
to	ii
a	at1
woman	nn1
'	ge
s	zz1
advancement	nn1
be	vbdz
"	"
 	nnu
"	"
//	jj_nn1
"	"
it	nn1@
doesn	nn1
'	ge
t	zz1
hurt	vv0_jj_vvn_vvd
to	to
have	vhi
friend	nn2
,	y
"	"
she	pphs1
say	vvd
.	y
"	"
but	ccb
one	mc1
study	nn1
,	y
by	ii
 	np1
speizer	np1
,	y
show	vvz
that	cst
the	at
popularity	nn1
of	io
the	at
mentor	nn1
concept	nn1
tend	vvz
to	to
reinforce	vvi
the	at
male-dominated	jj_nn1
organizational	jj
status	nn121
 	nn122
"	"
 	nn1_vv0
she	pphs1
be	vbdz
more	rgr
enthusiastic	jj
about	ii
the	at
value	nn1
of	io
woman	nn2
'	ge
s	zz1
network	nn2
to	ii
woman	nn2
in	ii
business	nn1
.	y
"	"
they	pphs2
'	ge_"@
re	ii
crucial	jj
if	cs_csw@
a	at1
woman	nn1
be	vbz
go	vvgk
to	to
change	vvi
job	nn2
,	y
"	"
she	pphs1
say	vvd
.	y
"	"
this	dd1
be	vbz
especially	rr
true	jj
in	ii
business	nn1
,	y
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
that	cst
woman	nn2
in	ii
other	jj
field	nn2
 	nnu
"	"
 	nn1_vv0_jj
add	vvg_nn1@
to	ii
the	at
value	nn1
of	io
network	nn2
,	y
she	pphs1
say	vvd
,	y
be	vbz
the	at
fact	nn1
that	cst
48	mc
percent	nnu
of	io
all	db
job	nn2
come	vv0_vvn@
through	ii_rp@
personal	jj
contact	nn2
and	cc
that	cst_dd1
in	ii
management	nn1
the	at
percentage	nn1
be	vbz
"	"
much	rr_da1
,	y
much	rr
 	nnu
"	"
 	nn1_vv0_jj
in	ii
the	at
area	nn1
of	io
salary	nn2
,	y
the	at
most	rgt
recent	jj
census	nn1
statistics	nn
show	vvd
that	cst_dd1
only	rr
102	mc
,	y
000	mc
female	jj
manager	nn2
earn	vvd_vvn
over	rg
$25	nnu
,	y
000	mc
,	y
compare	vvn
with	iw
2	mc
,	y
560	mc
,	y
000	mc
male	nn2
.	y
and	cc
according	ii21
to	ii22
one	mc1
study	nn1
in	ii
dr.-i	nnb
brown	np1
'	ge
s	zz1
book	nn1
,	y
the	at
wage	nn1
differential	nn1
between	ii
man	nn2
and	cc
woman	nn2
manager	nn2
be	vbdz
actually	rr
bad	jjr_rrr@
than	csn
the	at
national	jj
earnings	nn2
average	nn1_vv0@_jj
.	y
nationally	rr
,	y
woman	nn2
earn	vv0
62	mc
percent	nnu
of	io
what	ddq
man	nn2
earn	vv0
;	y
woman	nn2
in	ii
managerial	jj
and	cc
administrative	jj
job	nn2
earn	vv0
60	mc
percent	nnu
of	io
what	ddq
man	nn2
earn	vv0
.	y
 	null
 	null
type	nn1
of	io
job	nn2
an	at1
issue	nn1
//	nn1_jj
"	"
part	nn1
of	io
the	at
problem	nn1
be	vbz
the	at
kind	nn1
of	io
job	nn2
woman	nn2
have	vh0
go	vvn
into	ii
in	ii
management	nn1
,	y
"	"
dr.-i	nnb
brown	np1
say	vvd
.	y
"	"
they	pphs2
be	vbr
most	rgt
heavily	rr
in	ii
health	nn1
administration	nn1
,	y
general	jj_nn1
office	nn1
administration	nn1
,	y
the	at
food	nn1
area	nn1
and	cc
the	at
retail	jj
trade	nn1
area	nn1
.	y
those	dd2
be	vbr
not	xx
particularly	rr
well-paying	jj
field	nn2
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
that	cst_dd1
despite	ii
the	at
stereotype	nn1
of	io
female	jj_nn1
manager	nn2
as	csa
be	vbg
more	rgr
helpful	jj
,	y
intuitive	jj
and	cc
understanding	nn1
than	csn
male	jj
manager	nn2
,	y
study	nn2
do	vdn
in	ii
this	dd1
area	nn1
have	vhd
show	vvn
that	dd1_cst
male	nn1_jj
and	cc
female	jj_nn1
manager	nn2
have	vhd
more	dar
characteristic	nn2
in	rr21
common	rr22
than	csn
they	pphs2
have	vhd
difference	nn2
.	y
one	mc1
study	nn1
of	io
2	mc
,	y
000	mc
male	jj_nn1
and	cc
female	jj_nn1
manager	nn2
in	ii
1980	mc
find	vvd_vvn
"	"
a	at1
significant	jj
case	nn1
of	io
no	at
significant	jj
difference	nn1
,	y
"	"
she	pphs1
 	nnu
 	nn1_vv0
one	mc1
difference	nn1
that	cst
show	vvd
up	rp
in	ii
another	dd1
study	nn1
be	vbdz
that	dd1_rg%_cst
male	jj_nn1
manager	nn2
consider	vvn_vvd
personnel	nn2
decision	nn2
the	at
most	rgt
important	jj
part	nn1
of	io
their	appge
job	nn2
,	y
while	cs
woman	nn2
rate	vvd_vvn
task	nn1
decision	nn2
high	jjt
-	-
a	at1
reversal	nn1
of	io
the	at
stereotype	nn1
that	cst
woman	nn2
be	vbr
orient	vvn@
toward	ii
relationship	nn2
and	cc
man	nn2
toward	ii
 	nnu
 	vv0_nn1
another	dd1
lingering	jj
difference	nn1
be	vbz
that	cst
the	at
woman	nn2
manager	nn2
in	ii
the	at
study	nn2
be	vbdr
only	rr
a	at1
third	md
to	ii
a	at1
half	rr
as	rg
likely	jj_rr@
as	csa
male	jj
manager	nn2
to	to
be	vbi
 	jj
//	nn1
"	"
compare	vvn
with	iw
the	at
general	jj_nn1
population	nn1
,	y
"	"
dr.-i	nnb
brown	np1
write	vvz
in	ii_rp@
her	appge
book	nn1
,	y
"	"
a	at1
substantially	rr
large	jjr
percentage	nn1
of	io
woman	nn2
in	ii
middle	jj_nn1
management	nn1
be	vbr
not	xx
married	jj
,	y
and	cc
those	dd2
who	pnqs
be	vbr
married	jj
tend	vv0
to	to
marry	vvi
 	nnu
"	"
 	nn1_vv0_jj
among	ii
the	at
reason	nn2
cite	vvn_vvd
in	ii
the	at
study	nn2
be	vbdr
dedication	nn1
to	ii
the	at
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
 	ii
the	at
fact	nn1
that	cst
the	at
kind	nn1
of	io
"	"
power-motivated	jj_nn1
"	"
man	nn2
that	cst
woman	nn2
manager	nn2
be	vbdr
likely	jj_rr@
to	to
meet	vvi
at	ii
work	nn1
prefer	vvd_vvn_jj
dependent	jj
 	nnu
 	vv0_jj
anyone	pn1
want	vvg_jj
to	to
order	vvi
a	at1
copy	nn1
of	io
"	"
the	at
woman	nn1
manager	nn1
in	ii
the	at
united	np1
state	np1
"	"
should	vm
send	vvi
 	nnu
50	mc
to	ii
the	at
business	nn1
and	cc
professional	jj
woman	nn2
'	ge
s	zz1
supply	vv0_nn1
service	nn1
,	y
11722	mc
parklawn	np1_nn1_vv0
drive	nn1_vv0
,	y
rockville	np1
,	y
 	nna
 	mc
//	vv0_jj_nn1
##	fo
q	zz1_nn1@
--	zz
during	ii
the	at
past	jj_nn1
year	nnt1
or	cc
two	mc
,	y
i	ppis1
recall	vv0
see	vvg_cs@
several	da2
commercial	jj
message	nn2
on	ii
a	at1
chicago	np1
television	nn1
station	nn1
indicate	vvg
that	cst
there	ex
be	vbdz
an	at1
organization	nn1
of	io
retire	jj
executive	nn2
available	jj
on	ii
an	at1
advisory	jj
basis	nn1
for	if
individual	nn2
attempt	vvg
to	to
start	vvi
a	at1
small	jj
business	nn1
.	y
i	ppis1
be	vbm
interested	jj
in	ii
possibly	rr
start	vvg
a	at1
small	jj
manufacturing	nn1
firm	nn1
or	cc
possibly	rr
have	vhg
a	at1
firm	nn1_jj
make	vv0
the	at
product	nn1
and	cc
form	vv0
a	at1
company	nn1
for	if
the	at
sales	nn
and	cc
distribution	nn1
.	y
i	ppis1
would	vm
i	ppis1
appreciate	vvi
any	dd
information	nn1
you	ppy
can	vm
furnish	vvi
of	io
any	dd
suck	vv0_nn1@
